[2022-11-27 14:32:26] No settings files found: D:/Desktop/mdt/scripts_test_server/config/settings.bin and D:/Desktop/mdt/scripts_test_server/config/settings_backup.bin
[2022-11-27 14:32:30] Saving 2 values; 44 bytes
[2022-11-27 14:32:39] Saving 2 values; 44 bytes
[2022-11-27 14:32:39] Saving 3 values; 71 bytes
[2022-11-27 14:32:40] Saving 3 values; 71 bytes
[2022-11-27 14:34:31] Loaded 3 values
[2022-11-27 14:34:31] Backed up config/settings.bin to config/settings_backup.bin (71 bytes)
[2022-11-27 14:39:38] Saving 4 values; 94 bytes
[2022-11-27 14:39:38] Saving 4 values; 94 bytes
[2022-11-27 14:39:38] Saving 4 values; 94 bytes
[2022-11-27 14:39:38] Saving 4 values; 94 bytes
[2022-11-27 14:39:38] Saving 4 values; 94 bytes
[2022-11-27 14:39:43] Saving 4 values; 94 bytes
[2022-11-27 14:39:43] Saving 4 values; 94 bytes
[2022-11-27 14:39:44] Saving 4 values; 94 bytes
[2022-11-27 14:40:33] Saving 782 values; 24781 bytes
[2022-11-27 14:41:33] Saving 782 values; 24781 bytes
[2022-11-27 14:42:33] Saving 786 values; 24970 bytes
[2022-11-27 14:43:52] Loaded 786 values
[2022-11-27 14:43:52] Backed up config/settings.bin to config/settings_backup.bin (24970 bytes)
[2022-11-27 14:48:11] Saving 786 values; 24970 bytes
[2022-11-27 14:48:11] Saving 786 values; 24970 bytes
[2022-11-27 14:48:11] Saving 786 values; 24970 bytes
[2022-11-27 14:48:11] Saving 786 values; 24970 bytes
[2022-11-27 14:48:16] Saving 786 values; 24970 bytes
[2022-11-27 14:48:16] Saving 786 values; 24970 bytes
[2022-11-27 14:48:16] Saving 786 values; 24970 bytes
[2022-11-27 14:48:59] Saving 786 values; 24970 bytes
[2022-11-27 14:49:59] Saving 786 values; 24970 bytes
[2022-11-27 14:50:59] Saving 786 values; 24970 bytes
[2022-11-27 14:51:59] Saving 786 values; 24970 bytes
[2022-11-27 14:52:59] Saving 786 values; 24970 bytes
[2022-11-27 14:53:59] Saving 786 values; 24970 bytes
[2022-11-27 14:54:59] Saving 786 values; 24970 bytes
[2022-11-27 14:55:59] Saving 786 values; 24970 bytes
[2022-11-27 14:56:59] Saving 786 values; 24970 bytes
[2022-11-27 14:57:59] Saving 786 values; 24970 bytes
[2022-11-27 14:58:59] Saving 786 values; 24970 bytes
[2022-11-27 14:59:59] Saving 786 values; 24970 bytes
[2022-11-27 15:00:35] Saving 786 values; 24970 bytes
[2022-11-27 15:00:35] Saving 786 values; 24970 bytes
[2022-11-27 15:00:36] Saving 786 values; 24970 bytes
[2022-11-27 15:00:59] Saving 786 values; 24970 bytes
[2022-11-27 15:01:59] Saving 786 values; 24970 bytes
[2022-11-27 15:02:59] Saving 786 values; 24970 bytes
[2022-11-27 15:03:26] Loaded 786 values
[2022-11-27 15:03:26] Backed up config/settings.bin to config/settings_backup.bin (24970 bytes)
[2022-11-27 15:08:32] Saving 786 values; 24970 bytes
[2022-11-27 15:08:32] Saving 786 values; 24970 bytes
[2022-11-27 15:08:32] Saving 786 values; 24970 bytes
[2022-11-27 15:08:32] Saving 786 values; 24970 bytes
[2022-11-27 15:08:32] Saving 786 values; 24970 bytes
[2022-11-27 15:08:37] Saving 786 values; 24970 bytes
[2022-11-27 15:08:37] Saving 786 values; 24970 bytes
[2022-11-27 15:08:39] Saving 786 values; 24970 bytes
[2022-11-27 15:09:31] Saving 786 values; 24970 bytes
[2022-11-27 15:10:31] Saving 786 values; 24970 bytes
[2022-11-27 15:11:31] Saving 786 values; 24970 bytes
[2022-11-27 15:12:31] Saving 786 values; 24970 bytes
[2022-11-27 15:13:31] Saving 786 values; 24970 bytes
[2022-11-27 15:14:31] Saving 786 values; 24970 bytes
[2022-11-27 15:14:40] Loaded 786 values
[2022-11-27 15:14:40] Backed up config/settings.bin to config/settings_backup.bin (24970 bytes)
[2022-11-27 15:14:42] Saving 786 values; 24970 bytes
[2022-11-27 15:15:01] Saving 786 values; 24970 bytes
[2022-11-27 15:15:01] Saving 786 values; 24970 bytes
[2022-11-27 15:15:02] Saving 786 values; 24970 bytes
[2022-11-27 15:15:45] Loaded 786 values
[2022-11-27 15:15:45] Backed up config/settings.bin to config/settings_backup.bin (24970 bytes)
[2022-11-27 15:16:37] Saving 786 values; 24970 bytes
[2022-11-27 15:16:47] Saving 786 values; 24970 bytes
[2022-11-27 15:17:00] Saving 786 values; 24970 bytes
[2022-11-27 15:17:00] Saving 786 values; 24970 bytes
[2022-11-27 15:17:01] Saving 786 values; 24970 bytes
[2022-11-27 15:17:47] Saving 786 values; 24970 bytes
[2022-11-27 15:19:27] Loaded 786 values
[2022-11-27 15:19:27] Backed up config/settings.bin to config/settings_backup.bin (24970 bytes)
[2022-11-27 15:23:25] Saving 786 values; 24970 bytes
[2022-11-27 15:23:25] Saving 786 values; 24970 bytes
[2022-11-27 15:23:25] Saving 786 values; 24970 bytes
[2022-11-27 15:23:29] Saving 786 values; 24970 bytes
[2022-11-27 15:23:30] Saving 786 values; 24970 bytes
[2022-11-27 15:23:30] Saving 786 values; 24970 bytes
[2022-11-27 15:23:31] Saving 786 values; 24970 bytes
[2022-11-27 15:25:24] Loaded 786 values
[2022-11-27 15:25:24] Backed up config/settings.bin to config/settings_backup.bin (24970 bytes)
[2022-11-27 15:27:48] Saving 786 values; 24970 bytes
[2022-11-27 15:27:48] Saving 786 values; 24970 bytes
[2022-11-27 15:27:53] Saving 786 values; 24970 bytes
[2022-11-27 15:27:53] Saving 786 values; 24970 bytes
[2022-11-27 15:27:53] Saving 786 values; 24970 bytes
[2022-11-27 15:28:29] Saving 786 values; 24970 bytes
[2022-11-27 15:29:29] Saving 786 values; 24970 bytes
[2022-11-27 15:30:29] Saving 786 values; 24970 bytes
[2022-11-27 15:31:29] Saving 786 values; 24970 bytes
[2022-11-27 15:32:29] Saving 786 values; 24970 bytes
[2022-11-27 15:33:22] Saving 786 values; 25158 bytes
[2022-11-27 15:33:22] Saving 786 values; 25158 bytes
[2022-11-27 15:33:23] Saving 786 values; 25158 bytes
[2022-11-27 15:33:29] Saving 786 values; 25158 bytes
[2022-11-27 15:34:29] Saving 786 values; 25158 bytes
[2022-11-27 15:35:29] Saving 786 values; 25158 bytes
[2022-11-27 15:36:29] Saving 786 values; 25158 bytes
[2022-11-27 15:37:29] Saving 786 values; 25158 bytes
[2022-11-27 15:38:17] Saving 787 values; 25212 bytes
[2022-11-27 15:38:29] Saving 787 values; 25212 bytes
[2022-11-27 15:38:47] Saving 788 values; 25257 bytes
[2022-11-27 15:39:16] Saving 788 values; 25257 bytes
[2022-11-27 15:39:16] Saving 788 values; 25257 bytes
[2022-11-27 15:39:17] Saving 788 values; 25257 bytes
[2022-11-27 15:39:29] Saving 788 values; 25257 bytes
[2022-11-27 15:40:29] Saving 788 values; 25279 bytes
[2022-11-27 15:41:29] Saving 788 values; 25279 bytes
[2022-11-27 15:42:29] Saving 788 values; 25279 bytes
[2022-11-27 15:43:29] Saving 788 values; 25279 bytes
[2022-11-27 15:44:29] Saving 788 values; 25279 bytes
[2022-11-27 15:45:29] Saving 788 values; 25279 bytes
[2022-11-27 15:46:02] Saving 788 values; 25279 bytes
[2022-11-27 15:46:02] Saving 788 values; 25279 bytes
[2022-11-27 15:46:02] Saving 788 values; 25279 bytes
[2022-11-27 15:46:29] Saving 788 values; 25279 bytes
[2022-11-27 15:47:29] Saving 788 values; 25279 bytes
[2022-11-27 15:48:29] Saving 788 values; 25279 bytes
[2022-11-27 15:49:29] Saving 788 values; 25279 bytes
[2022-11-27 15:50:29] Saving 788 values; 25279 bytes
[2022-11-27 15:51:29] Saving 788 values; 25279 bytes
[2022-11-27 15:51:29] Saving 788 values; 25279 bytes
[2022-11-27 15:51:29] Saving 788 values; 25279 bytes
[2022-11-27 15:51:29] Saving 788 values; 25279 bytes
[2022-11-27 15:52:29] Saving 788 values; 25279 bytes
[2022-11-27 15:53:29] Saving 788 values; 25279 bytes
[2022-11-27 15:54:29] Saving 788 values; 25279 bytes
[2022-11-27 15:55:29] Saving 788 values; 25279 bytes
[2022-11-27 15:56:29] Saving 788 values; 25279 bytes
[2022-11-27 15:57:29] Saving 788 values; 25279 bytes
[2022-11-27 15:58:11] Saving 788 values; 25279 bytes
[2022-11-27 15:58:11] Saving 788 values; 25279 bytes
[2022-11-27 15:58:12] Saving 788 values; 25279 bytes
[2022-11-27 15:58:29] Saving 788 values; 25279 bytes
[2022-11-27 15:59:29] Saving 788 values; 25279 bytes
[2022-11-27 16:00:29] Saving 788 values; 25279 bytes
[2022-11-27 16:01:29] Saving 788 values; 25279 bytes
[2022-11-27 16:02:29] Saving 788 values; 25279 bytes
[2022-11-27 16:03:29] Saving 788 values; 25279 bytes
[2022-11-27 16:04:29] Saving 788 values; 25279 bytes
[2022-11-27 16:05:04] Saving 788 values; 25279 bytes
[2022-11-27 16:05:04] Saving 788 values; 25279 bytes
[2022-11-27 16:05:04] Saving 788 values; 25279 bytes
[2022-11-27 16:05:29] Saving 788 values; 25279 bytes
[2022-11-27 16:06:29] Saving 788 values; 25279 bytes
[2022-11-27 16:07:29] Saving 788 values; 25279 bytes
[2022-11-27 16:08:29] Saving 788 values; 25279 bytes
[2022-11-27 16:09:29] Saving 788 values; 25279 bytes
[2022-11-27 16:10:29] Saving 788 values; 25279 bytes
[2022-11-27 16:11:29] Saving 788 values; 25279 bytes
[2022-11-27 16:11:53] Saving 788 values; 25279 bytes
[2022-11-27 16:11:53] Saving 788 values; 25279 bytes
[2022-11-27 16:11:53] Saving 788 values; 25279 bytes
[2022-11-27 16:12:29] Saving 788 values; 25279 bytes
[2022-11-27 16:13:29] Saving 788 values; 25279 bytes
[2022-11-27 16:14:29] Saving 788 values; 25279 bytes
[2022-11-27 16:15:29] Saving 788 values; 25279 bytes
[2022-11-27 16:16:29] Saving 788 values; 25279 bytes
[2022-11-27 16:17:29] Saving 788 values; 25279 bytes
[2022-11-27 16:17:47] Saving 788 values; 25279 bytes
[2022-11-27 16:17:47] Saving 788 values; 25279 bytes
[2022-11-27 16:17:48] Saving 788 values; 25279 bytes
[2022-11-27 16:18:29] Saving 788 values; 25279 bytes
[2022-11-27 16:19:29] Saving 788 values; 25279 bytes
[2022-11-27 16:20:29] Saving 788 values; 25279 bytes
[2022-11-27 16:21:29] Saving 788 values; 25279 bytes
[2022-11-27 16:22:29] Saving 788 values; 25279 bytes
[2022-11-27 16:23:29] Saving 788 values; 25279 bytes
[2022-11-27 16:24:29] Saving 788 values; 25279 bytes
[2022-11-27 16:25:22] Saving 788 values; 25279 bytes
[2022-11-27 16:25:22] Saving 788 values; 25279 bytes
[2022-11-27 16:25:22] Saving 788 values; 25279 bytes
[2022-11-27 16:25:29] Saving 788 values; 25279 bytes
[2022-11-27 16:26:29] Saving 788 values; 25279 bytes
[2022-11-27 16:27:29] Saving 788 values; 25279 bytes
[2022-11-27 16:28:29] Saving 788 values; 25279 bytes
[2022-11-27 16:29:29] Saving 788 values; 25279 bytes
[2022-11-27 16:30:29] Saving 788 values; 25279 bytes
[2022-11-27 16:31:06] Saving 788 values; 25279 bytes
[2022-11-27 16:31:06] Saving 788 values; 25279 bytes
[2022-11-27 16:31:06] Saving 788 values; 25279 bytes
[2022-11-27 16:31:29] Saving 788 values; 25279 bytes
[2022-11-27 16:32:29] Saving 788 values; 25279 bytes
[2022-11-27 16:33:29] Saving 788 values; 25279 bytes
[2022-11-27 16:34:29] Saving 788 values; 25279 bytes
[2022-11-27 16:35:29] Saving 788 values; 25279 bytes
[2022-11-27 16:36:29] Saving 788 values; 25279 bytes
[2022-11-27 16:37:29] Saving 788 values; 25279 bytes
[2022-11-27 16:38:29] Saving 788 values; 25279 bytes
[2022-11-27 16:39:29] Saving 788 values; 25279 bytes
[2022-11-27 16:40:29] Saving 788 values; 25279 bytes
[2022-11-27 16:41:29] Saving 788 values; 25279 bytes
[2022-11-27 16:42:29] Saving 788 values; 25279 bytes
[2022-11-27 16:43:29] Saving 788 values; 25279 bytes
[2022-11-27 16:44:29] Saving 788 values; 25279 bytes
[2022-11-27 16:45:29] Saving 788 values; 25279 bytes
[2022-11-27 16:46:29] Saving 788 values; 25279 bytes
[2022-11-27 16:47:29] Saving 788 values; 25279 bytes
[2022-11-27 16:48:29] Saving 788 values; 25279 bytes
[2022-11-27 16:49:29] Saving 788 values; 25279 bytes
[2022-11-27 16:50:29] Saving 788 values; 25279 bytes
[2022-11-27 16:51:29] Saving 788 values; 25279 bytes
[2022-11-27 16:52:29] Saving 788 values; 25279 bytes
[2022-11-27 16:53:29] Saving 788 values; 25279 bytes
[2022-11-27 16:54:29] Saving 788 values; 25279 bytes
[2022-11-27 16:55:29] Saving 788 values; 25279 bytes
[2022-11-27 16:56:29] Saving 788 values; 25279 bytes
